iter	Passed	Remaining
771	6000	1772
772	6007	1764
773	6015	1756
774	6028	1750
775	6043	1744
776	6054	1737
777	6063	1730
778	6075	1723
779	6088	1717
780	6098	1710
781	6111	1703
782	6121	1696
783	6132	1689
784	6141	1682
785	6150	1674
786	6160	1667
787	6170	1659
788	6178	1652
789	6188	1645
790	6197	1637
791	6207	1630
792	6217	1622
793	6226	1615
794	6235	1607
795	6243	1600
796	6253	1592
797	6261	1584
798	6269	1577
799	6277	1569
800	6285	1561
801	6292	1553
802	6301	1545
803	6312	1538
804	6319	1530
805	6327	1522
806	6335	1515
807	6342	1507
808	6350	1499
809	6357	1491
810	6365	1483
811	6372	1475
812	6380	1467
813	6388	1459
814	6395	1451
815	6403	1443
816	6412	1436
817	6419	1428
818	6426	1420
819	6433	1412
820	6441	1404
821	6448	1396
822	6455	1388
823	6462	1380
824	6469	1372
825	6477	1364
826	6484	1356
827	6491	1348
828	6498	1340
829	6507	1332
830	6514	1324
831	6521	1316
832	6528	1308
833	6536	1301
834	6543	1293
835	6550	1285
836	6557	1277
837	6565	1269
838	6572	1261
839	6579	1253
840	6587	1245
841	6594	1237
842	6601	1229
843	6610	1221
844	6618	1214
845	6625	1206
846	6633	1198
847	6641	1190
848	6649	1182
849	6656	1174
850	6664	1166
851	6671	1158
852	6679	1151
853	6687	1143
854	6694	1135
855	6702	1127
856	6710	1119
857	6718	1111
858	6726	1104
859	6733	1096
860	6740	1088
861	6748	1080
862	6755	1072
863	6762	1064
864	6769	1056
865	6776	1048
866	6784	1040
867	6791	1032
868	6798	1024
869	6805	1016
870	6813	1009
871	6820	1001
872	6827	993
873	6835	985
874	6842	977
875	6853	970
876	6862	962
877	6870	954
878	6879	947
879	6888	939
880	6898	931
881	6906	924
882	6916	916
883	6925	908
884	6933	901
885	6941	893
886	6949	885
887	6956	877
888	6967	869
889	6978	862
890	6989	855
891	6998	847
892	7010	839
893	7019	832
894	7029	824
895	7039	817
896	7055	810
897	7069	802
898	7078	795
899	7087	787
900	7098	779
901	7106	772
902	7115	764
903	7124	756
904	7136	749
905	7145	741
906	7153	733
907	7161	725
908	7171	717
909	7181	710
910	7188	702
911	7195	694
912	7202	686
913	7210	678
914	7217	670
915	7225	662
916	7233	654
917	7240	646
918	7247	638
919	7255	630
920	7262	622
921	7269	615
922	7276	607
923	7284	599
924	7291	591
925	7298	583
926	7305	575
927	7312	567
928	7320	559
929	7328	551
930	7336	543
931	7344	535
932	7352	527
933	7359	520
934	7366	512
935	7374	504
936	7381	496
937	7388	488
938	7395	480
939	7402	472
940	7410	464
941	7417	456
942	7426	448
943	7434	441
944	7441	433
945	7448	425
946	7455	417
947	7463	409
948	7471	401
949	7478	393
950	7486	385
951	7493	377
952	7501	369
953	7508	362
954	7515	354
955	7523	346
956	7532	338
957	7539	330
958	7546	322
959	7554	314
960	7561	306
961	7570	299
962	7577	291
963	7586	283
964	7593	275
965	7601	267
966	7609	259
967	7617	251
968	7624	243
969	7633	236
970	7640	228
971	7647	220
972	7654	212
973	7661	204
974	7669	196
975	7676	188
976	7683	180
977	7690	173
978	7698	165
979	7705	157
980	7712	149
981	7719	141
982	7727	133
983	7736	125
984	7743	117
985	7751	110
986	7758	102
987	7765	94
988	7773	86
989	7780	78
990	7787	70
991	7795	62
992	7802	55
993	7810	47
994	7817	39
995	7825	31
996	7833	23
997	7841	15
998	7849	7
999	7857	0
